product_id,product_name,category,unit_price,weight_kg,stock_quantity,is_active,created_date,sku,cost_price,supplier_code,warehouse_bin,reorder_threshold
PROD-60ee4ed5-bd9e-4e30-8e5e-36a646b62d6f,Switchable Systematic Knowledgebase,Sports,92.83,8.941,422,False,2025-11-24,SKU-WXT-1754,38.13,SUP-6827,BIN-EA-66,10
PROD-ee52d235-f453-485f-bfa6-a776be9b563e,Reverse-Engineered Multi-Tasking Data-Warehouse,Beauty,14.46,2.736,404,True,2023-08-12,SKU-YWG-3871,7.62,SUP-8298,BIN-TJ-01,41
PROD-cf81e8ed-96d5-45d7-ad77-0c18ce14b92b,Reduced Interactive Hub,Books,20.12,21.469,342,True,2023-10-17,SKU-SRA-9910,9.38,SUP-6627,BIN-FT-51,13
PROD-a21d8d97-1854-4ea5-bd09-89cc07e5b9c4,Synergized Context-Sensitive Frame,Home & Garden,397.97,12.688,120,False,2024-10-04,SKU-HDU-0739,258.52,SUP-1683,BIN-LJ-74,36
PROD-d1729e5b-8cba-4fb8-b633-3e2b129adca8,Exclusive Local Approach,Sports,59.55,7.739,313,True,2023-08-29,SKU-HPX-2165,31.15,SUP-0016,BIN-AZ-04,43
PROD-fa51cffd-d513-4288-ba57-726ab59e3df5,Grass-Roots Multi-State Projection,Automotive,194.16,16.101,153,True,2025-10-27,SKU-LIN-9852,101.61,SUP-2728,BIN-NB-41,6
PROD-cafc73f4-e2cc-4255-8064-8786e90e452c,Ergonomic Leadingedge Encryption,Toys,25.12,4.669,425,True,2026-02-15,SKU-MFU-7741,11.6,SUP-9471,BIN-FR-74,41
PROD-760db774-0d03-4e3d-92a8-4a758d22c7f1,Right-Sized Clear-Thinking Array,Books,16.88,16.953,155,True,2025-11-27,SKU-IFU-4789,6.57,SUP-1990,BIN-IC-78,45
PROD-cf68761a-1e1d-42b1-9b4a-9b7b286d0856,Automated Bifurcated Strategy,Books,21.37,4.002,99,True,2023-05-30,SKU-TAG-8857,12.93,SUP-7832,BIN-VJ-85,18
PROD-c4649e3b-4b2f-4806-8f5e-6ff64667343c,Ameliorated Multi-Tasking Standardization,Sports,65.77,20.197,285,True,2025-03-30,SKU-LTI-5799,31.9,SUP-9273,BIN-NK-15,41
PROD-0a41f4fa-5225-44a4-89a1-dbfb84097c6e,Virtual Intermediate Attitude,Clothing,101.27,5.568,188,True,2026-01-08,SKU-IOZ-5991,63.79,SUP-4770,BIN-KG-80,42
PROD-5d5895ec-46fb-4235-a9aa-d3f3e753be79,Down-Sized Bifurcated Task-Force,Sports,269.62,18.392,228,False,2024-06-07,SKU-POH-6113,99.74,SUP-4841,BIN-NU-55,25
PROD-70911383-b3e0-442c-b328-fcaee2294f93,Reduced Foreground Moratorium,Sports,196.93,4.026,389,True,2025-11-24,SKU-ESN-8938,123.52,SUP-5950,BIN-ZH-82,9
PROD-b79c4ef3-a9f2-4ce7-96e8-6bb2349e4895,Ergonomic Systemic Architecture,Books,28.35,0.649,373,True,2025-01-24,SKU-VPE-9376,16.98,SUP-7707,BIN-MN-58,18
PROD-dd57aaf1-f6d7-4612-8a79-641e27ef1a58,Configurable Context-Sensitive Frame,Toys,89.36,6.433,143,True,2023-05-01,SKU-CIL-1371,51.87,SUP-9888,BIN-JV-16,37
PROD-e2257c2e-6a48-4024-8a08-2f480fc3afd0,Business-Focused Hybrid Installation,Automotive,83.14,7.479,62,False,2024-12-11,SKU-LNF-1129,29.11,SUP-7191,BIN-CD-43,32
PROD-bc0b3fa0-0a15-435e-880c-25fb684ae2d8,Expanded Optimizing Groupware,Clothing,54.69,19.2,271,True,2024-12-16,SKU-XMH-3589,31.36,SUP-8348,BIN-EP-02,21
PROD-b06ae5df-eef8-42fc-8eec-7d83fe6da659,Progressive Stable Budgetary Management,Clothing,62.89,4.085,459,False,2024-09-28,SKU-PWY-6627,28.2,SUP-7747,BIN-PT-73,21
PROD-f8557d31-2bd2-450f-84ff-1e347d72334c,Stand-Alone Stable Graphic Interface,Books,11.04,17.683,151,False,2023-09-08,SKU-LBL-1426,4.29,SUP-9206,BIN-SM-56,18
PROD-94783cc0-73e8-4067-831d-57c4e0d5631b,Realigned Value-Added Workforce,Home & Garden,324.68,24.365,356,True,2024-03-02,SKU-LDJ-8716,187.47,SUP-0783,BIN-WH-20,48
PROD-83ca16db-acb3-4c24-b9cd-b5c8d6f6721d,Advanced Intangible Budgetary Management,Electronics,653.21,19.417,143,True,2025-07-01,SKU-LCB-3308,420.76,SUP-6222,BIN-KK-64,36
PROD-a24a9a1e-2383-464a-ae45-55dfffb91ab1,Cross-Group Executive Focus Group,Beauty,17.83,12.0,94,True,2026-01-19,SKU-HPA-3785,9.17,SUP-5968,BIN-YA-80,14
PROD-3faadd35-f360-48c4-96e6-d75d3ea98afc,Extended 24Hour Concept,Sports,168.77,18.964,53,True,2025-06-27,SKU-QSI-8139,102.13,SUP-8014,BIN-JK-55,18
PROD-5d58e17d-f4a1-4ff0-b694-1d0f6b0605af,Automated Reciprocal Portal,Sports,53.39,21.442,306,True,2024-07-05,SKU-DNV-9472,30.38,SUP-3633,BIN-XI-00,24
PROD-329c729c-b53f-4f0b-a18b-38a7ad96331a,Optimized Coherent Matrices,Beauty,65.3,20.522,356,True,2025-05-29,SKU-MUE-8371,30.26,SUP-0305,BIN-QH-51,46
PROD-8fe12474-a0f9-427c-8a61-0dfb000e8055,Programmable Asynchronous Concept,Toys,41.7,21.686,348,True,2024-05-01,SKU-SSU-8045,20.28,SUP-3590,BIN-MQ-46,9
PROD-9fb5edca-2bc8-481b-b0cb-53cb5b6712ba,Self-Enabling Optimal Hardware,Home & Garden,264.12,12.765,256,True,2024-04-01,SKU-JYG-3176,145.14,SUP-4309,BIN-YI-65,23
PROD-4c62fab0-16c4-4c14-970b-e8b0b2d34870,Re-Contextualized Systemic Forecast,Sports,130.55,24.558,190,False,2024-08-12,SKU-GGX-8835,66.18,SUP-7288,BIN-KF-96,19
PROD-31421db3-cfa1-4960-8842-c76ea71bd394,Virtual Executive Support,Toys,39.27,24.161,139,True,2025-04-27,SKU-TNZ-1572,15.15,SUP-5431,BIN-UU-24,15
PROD-857812b3-6b9f-4976-8f6d-03299712a349,Integrated Content-Based Moderator,Home & Garden,303.91,17.956,162,True,2024-03-11,SKU-HSO-4367,140.29,SUP-9840,BIN-KL-46,15
PROD-2e7248e8-d2ee-402f-b581-3e530625cfe6,Down-Sized Non-Volatile Service-Desk,Home & Garden,26.16,14.064,173,True,2023-06-24,SKU-EHY-1835,14.84,SUP-0717,BIN-FC-33,15
PROD-33e22c30-f101-4ec6-895b-6fed327dc2a9,Synchronized Asymmetric Matrix,Home & Garden,352.46,17.931,341,True,2024-08-08,SKU-BTX-5864,227.67,SUP-3052,BIN-NT-75,13
PROD-ae83d643-ae6d-4af5-97b3-01a91826ca60,Multi-Layered Next Generation Secured Line,Home & Garden,50.36,21.137,133,True,2023-09-08,SKU-MYZ-1338,27.9,SUP-0925,BIN-YK-75,41
PROD-2a3ca695-97ef-484f-aedd-3ad97c972ada,Open-Source Explicit Standardization,Home & Garden,355.29,15.185,73,True,2023-06-09,SKU-NGQ-2213,176.73,SUP-7309,BIN-GL-92,12
PROD-d1b02739-6dab-444e-8e1c-56f1d6dd71d7,Down-Sized Incremental Flexibility,Automotive,127.37,3.976,55,False,2025-12-02,SKU-TAD-7032,66.27,SUP-6546,BIN-EC-74,44
PROD-64b28a9a-33d5-47f7-a920-3dc095efb280,Programmable Secondary Matrix,Automotive,242.03,21.315,364,True,2025-06-14,SKU-TQY-0527,96.91,SUP-8830,BIN-YD-64,18
PROD-ed43b4e8-235c-44e7-8896-176eaef4212e,Seamless Client-Server Support,Home & Garden,272.76,11.106,258,True,2023-07-16,SKU-HRQ-6620,156.18,SUP-5621,BIN-GS-51,42
PROD-f146a1eb-8b63-4ec2-a573-aacb6d2967c0,Stand-Alone Cohesive Process Improvement,Electronics,123.87,5.42,412,True,2023-05-10,SKU-WPE-3323,57.86,SUP-4099,BIN-AD-63,38
PROD-79f990aa-bf7b-49b2-90c7-44902565df01,Sharable Dynamic Time-Frame,Automotive,99.03,22.769,194,True,2025-02-23,SKU-VDH-7431,37.06,SUP-0827,BIN-BU-40,24
PROD-ad3b042e-e4e8-4142-b6a4-f42b0a7cd181,Multi-Channeled Maximized Standardization,Automotive,173.97,15.944,123,True,2023-08-03,SKU-AZS-8462,75.74,SUP-5856,BIN-YV-53,36
PROD-45513938-94bb-4ddc-b524-188c47e1fce5,Managed Eco-Centric Throughput,Beauty,13.28,15.94,1,True,2024-10-17,SKU-MOY-5068,7.34,SUP-1614,BIN-PF-72,20
PROD-8476c9d1-c4af-408d-840c-0837aee5c3a9,Multi-Lateral Incremental Utilization,Electronics,366.69,7.808,83,True,2024-11-04,SKU-NKR-7689,136.57,SUP-9737,BIN-DB-69,14
PROD-0fb6ca37-071a-462d-81fb-9f73545d5918,Fundamental Systematic Info-Mediaries,Automotive,198.91,9.4,26,True,2026-02-19,SKU-ZYN-7240,108.25,SUP-6498,BIN-II-08,13
PROD-afe0d10b-611d-4329-917c-64961ab14e97,Self-Enabling Zero-Defect Instruction Set,Toys,65.09,16.363,419,True,2025-01-06,SKU-JFI-0440,33.93,SUP-6129,BIN-DB-42,47
PROD-6293f262-d471-40b7-b20e-18c324826373,Integrated Client-Driven Framework,Electronics,572.85,10.272,133,True,2024-12-06,SKU-ZST-8604,274.8,SUP-5132,BIN-VS-96,5
PROD-114f3c18-5421-4a3f-a32c-d308f6e4cad9,Centralized Eco-Centric Graphical User Interface,Toys,65.65,21.837,479,True,2023-12-27,SKU-CLI-3144,33.3,SUP-9691,BIN-MA-46,42
PROD-0c18e11f-6882-4622-9033-3b2550bd59ef,Assimilated Human-Resource Firmware,Electronics,760.09,20.325,114,False,2025-08-06,SKU-CGO-1056,492.8,SUP-0640,BIN-UF-22,5
PROD-9399d2a0-dad8-49f8-ad4c-7912553d3b9d,Multi-Layered Demand-Driven Project,Clothing,48.85,20.097,460,True,2024-08-10,SKU-WMN-0060,24.3,SUP-7899,BIN-XQ-07,48
PROD-ddb4bfa5-0b8c-4ea7-92be-65caff76833f,Right-Sized Non-Volatile Encryption,Automotive,81.42,4.675,456,True,2025-09-27,SKU-HXJ-6523,52.9,SUP-2215,BIN-CD-90,45
PROD-6a454f65-a1c3-4034-aa74-c7df1ec1d6be,Ameliorated Secondary Concept,Home & Garden,97.13,15.613,463,True,2024-06-29,SKU-RQT-9246,48.55,SUP-3275,BIN-PP-18,10
PROD-c8e80ea0-b160-4d8c-9ef4-4175b35b5164,Synergized Intangible System Engine,Home & Garden,266.19,24.009,409,True,2023-06-16,SKU-HUH-1932,172.35,SUP-7692,BIN-XV-45,50
PROD-f91337ef-50a9-46da-94e9-d68b5141eb7d,Mandatory Cohesive Data-Warehouse,Automotive,67.07,4.702,126,True,2025-08-03,SKU-WYS-1076,37.65,SUP-1793,BIN-SZ-59,9
PROD-148603d8-692f-4a3b-a787-9a0dd5b089bd,Inverse Heuristic Paradigm,Toys,87.58,10.046,326,False,2024-02-16,SKU-CWG-9100,48.28,SUP-1866,BIN-WC-64,24
PROD-47bad1c5-138a-45c6-b162-57c43eb6de79,Ameliorated Motivating Parallelism,Beauty,48.28,17.701,241,False,2024-07-24,SKU-BUU-0520,28.01,SUP-0484,BIN-WF-20,38
PROD-70275e79-36d9-4aa5-9613-7440ea2a7728,Multi-Lateral Real-Time Time-Frame,Electronics,851.42,6.842,14,True,2024-05-13,SKU-OIF-9030,538.41,SUP-1222,BIN-ZD-78,30
PROD-906e8b5c-f71c-4488-9c02-72b1ab957715,Organic Bi-Directional Capability,Home & Garden,298.51,17.035,193,True,2026-01-09,SKU-ZPF-1869,107.72,SUP-0423,BIN-YY-15,31
PROD-ec4c2c7a-9e03-4864-95f4-82ed02c06c2e,Optimized Interactive Local Area Network,Clothing,128.94,9.76,58,True,2023-08-22,SKU-OOP-0912,60.59,SUP-2431,BIN-JG-41,29
